id;major;minor;patch;release_date;description;location;type;created_by;created_date;last_modified_by;last_modified_date
04f126b4-d588-40f2-af61-db30111009d7;18559;63047;72654;2022-07-30T13:35:12;Regional;Oman clicks-and-mortar;PORTABLE;Anguilla;2022-07-30T18:46:58;area;2022-07-30T15:41:09
715a9c82-d648-4f07-b309-8bee572d9901;61862;69528;76646;2022-07-30T21:35:37;facilitate;throughput;INSTALLABLE;Home;2022-07-30T11:31:10;JSON AI;2022-07-30T10:07:49
7599a986-4cb5-4495-92fe-c5b5967bd178;45271;95608;11931;2022-07-31T02:41:24;Rubber;Awesome Avon B2C;PORTABLE;communities;2022-07-31T02:56:09;Supervisor Music;2022-07-30T11:42:43
121b71f3-4e5d-4025-ba96-4accdb675039;16793;55164;79475;2022-07-30T15:36:49;Developer SMS area;Berkshire;PORTABLE;Practical;2022-07-30T15:34:17;Borders;2022-07-31T02:20:38
853237cb-851d-4853-b157-d84ef3bdf63a;97362;92658;74455;2022-07-30T06:34:48;Netherlands;Persistent utilize Synergized;INSTALLABLE;Account Home;2022-07-30T05:14:05;microchip frictionless Investment;2022-07-30T21:44:25
66bd4fb2-c2c2-491e-846b-a193b9a6af41;26019;47207;18762;2022-07-31T02:55:35;strategic Analyst;Borders Outdoors;INSTALLABLE;Health Gorgeous neural;2022-07-30T04:38:34;Metrics;2022-07-31T00:03:44
366a3aca-71e9-4832-bb80-497ec320b30c;28045;99465;99157;2022-07-30T16:01:04;cutting-edge Hat;multi-state content well-modulated;PORTABLE;drive;2022-07-30T17:09:45;Persevering;2022-07-30T08:39:50
ffd6fcb8-87d2-4724-96c0-9a8e247dfd1f;43420;59256;10862;2022-07-30T04:02:54;Wooden facilitate Awesome;Vermont turquoise;INSTALLABLE;synthesize transmitting granular;2022-07-30T07:41:24;Loan;2022-07-30T17:17:32
5d3004bf-5bfa-40b6-8185-71e488d4e4bd;6226;63106;69251;2022-07-30T05:06:36;niches;Steel Handcrafted Florida;PORTABLE;firewall;2022-07-30T04:13:58;Fresh Crescent;2022-07-30T07:31:27
356c142a-b61d-4934-a76e-9e423df91427;86260;81965;30331;2022-07-30T21:37:15;South;Texas;PORTABLE;Frozen;2022-07-30T23:32:11;Account Bedfordshire;2022-07-30T13:00:43
